text,summary
"ప్రమాదకర కరోనా వైరస్‌ భారత ఆర్మీకి సైతం పాకింది. పంజాబ్‌ సరిహద్దుల్లో విధులు నిర్వర్తిస్తున్న ఓ జవాను కరోనా లక్షణాలతో బాధపడుతుండగా.. అతన్ని సమీపంలోని ఆస్పత్రిలో చేర్పించారు. వైద్యుల పర్యవేక్షణలో పరీక్షలు నిర్వహించగా కరోనా పాజిటివ్‌ అని తేలింది. దీంతో అతన్ని మెరుగైన వైద్యం కోసం ఐసోలేషన్‌ సెంటర్‌కు తరలించారు. అయితే కరోనా సోకిన జవాను ఇటీవల ఇటలీ పర్యటను వెళ్లి వచ్చినట్టు అధికారులు బెబుతున్నారు. ఇటలీ పర్యటన అనంతరం మార్చి 11న మానేసర్‌లోని ఆర్మీ క్యాంపుకు వచ్చారని, ఈ నేపథ్యంలోనే వైరస్‌ లక్షణాలు కనిపించడంతో పరీక్షలు నిర్వహించామని వెల్లడించారు.",ఆర్మీ జవాన్‌కు కరోనా పాజిటివ్‌
సంక్షోభంలో పడిన  ప్రైవేటు బ్యాంకు యస్‌ బ్యాంకు పునర్నిర్మాణ పథకానికి కేబినెట్ ఆమోదం తెలిపింది. ఆర్‌బీఐ ప్రతిపాదనలకు మంత్రివర్గం ఆమోదం తెలిపిందని శుక్రవారం కేంద్ర కేబినెట్ సమావేశం అనంతరం ఏర్పాటు చేసిన మీడియా సమావేశంలో కేంద్ర ఆర్థికమంత్రి నిర్మలా సీతారామన్‌ వెల్లడించారు. తక్షణ మూలధన అవసరాల నిమిత్తం రూ. 1100 కోట్ల  నుంచి రూ. 6200 కోట్లకు పెంచినట్టు ఆమె ప్రకటించారు.,"యస్‌’ పునర్నిర్మాణ పథకం, త్వరలోనే ఆంక్షలు ఎత్తివేత"
ఏపీలో స్థానిక సంస్థల ఎన్నికలు వాయిదా వేయడాన్ని శాసనమండలి చీఫ్‌ విప్‌ ఉమ్మారెడ్డి వెంకటేశ్వర్లు తీవ్రంగా తప్పుబట్టారు. ఆదివారం ఆయన మీడియాతో మాట్లాడుతూ.. రాష్ట్ర ఎన్నికల సంఘం తీసుకున్న నిర్ణయం సమంజసం కాదన్నారు. ఈ నిర్ణయం కారణంగా రాష్ట్రానికి రావాల్సిన ఐదు వేల కోట్లకు పైగా నిధులు ఆగిపోతున్నాయన్నారు. ఇది రాష్ట్ర ప్రజలకు నష్టం కలిగించే అంశం అని పేర్కొన్నారు. కరోనా బూచి చూపించి ఎన్నికలను వాయిదా వేయడం దారుణమన్నారు. అసలు ఏపీలో కరోనా వైరస్‌ ఎక్కడుందని ఆయన ప్రశ్నించారు. కరోనా వ్యాప్తిని అడ్డుకునేందుకు రాష్ట్ర ప్రభుత్వం అన్ని చర్యలు తీసుకుందని చెప్పారు.,చంద్రబాబు క్షమాపణ చెప్పాలి
"పాకిస్తాన్‌ మాజీ క్రికెటర్‌ షోయబ్‌ అక్తర్‌ చైనీయులపై మండిపడ్డారు. ఏది పడితే అది తిని ప్రపంచాన్ని ప్రమాదంలోకి నెట్టారని ఆగ్రహం వ్యక్తం చేశారు. అసలు గబ్బిలాలు, కుక్కలు, పాములు, పిల్లులు, ఎలుకల్ని ఎలా తింటారని విస్మయం వ్యక్తం చేశారు. వాటి రక్తం, వ్యర్థాలను సైతం ఆహారంగా తీసుకునే చైనీయులపై కోపం వస్తోందని అన్నారు. కరోనా వ్యాప్తితో ప్రపంచంలోని అన్ని దేశాలు తీవ్ర ఇబ్బందులు ఎదుర్కొంటున్నాయని పేర్కొన్నారు. పర్యాటకం దెబ్బతిందని, ఆర్థిక వ్యవస్థ క్షీణించిందని  తెలిపారు. కోవిడ్‌ ప్రభావం క్రీడలపైనా పడిందని తన యూట్యూబ్‌ చానెల్‌లో చెప్పుకొచ్చారు. ",‘ఏది పడితే అది తిని ఈ మహమ్మారిని తెచ్చారు’
"రాష్ట వ్యాప్తంగా సంచలన సృష్టించిన మిర్యాలగూడ ప్రణయ్‌ హత్య కేసు ఉదంతంలో అనుహ్య పరిణామం చోటుచేసుకుంది. ప్రణయ్‌ భార్య అమృత శనివారం సాయంత్రం ఆమె తల్లి గిరిజను కలిశారు. ఇటీవల అమృత తండ్రి, ప్రణయ్‌ హత్య నిందితుడు మారుతీరావు ఆత్మహత్యకు పాల్పడిన విషయం తెలిసిందే. కాగా మారుతీరావు అంత్యక్రియల సందర్భంగా కడసారి తండ్రిని చూసేందుకు వచ్చిన అమృతను వారి కుటుంబ సభ్యులు, స్థానికులు అడ్డుకుని వెనక్కి పంపించారు. దీంతో తండ్రిని చివరిసారి కూడా చూడకుండానే అమృత వెనుదిరిగి వెళ్లిపోయారు. మారుతీరావు ఆత్మహత్య చేసుకునే ముందు అమృతను తల్లి గిరిజ వద్దకు వెళ్లమని లేఖ రాసిన విషయం తెలిసిందే.",తల్లి గిరిజను కలిసిన అమృతా ప్రణయ్‌
"టీడీపీ అధ్యక్షుడు చంద్రబాబునాయుడు 13 జిల్లాలలో ఎదురైన ఓటమిని జీర్ణించుకోలేకపోతున్నారని, రాబోయే ఎన్నికల ఫలితాల తరువాత టీడీపీని ఓఎల్‌ఎక్స్‌లో పెట్టుకోవాలని వైఎస్సార్‌ సీపీ ఎమ్మెల్యే ఆర్‌కే రోజా ఎద్దేవా చేశారు. ఆదివారం ఆమె మీడియాతో మాట్లాడుతూ.. చంద్రబాబు ఓటమి భయంతో నిమ్మగడ్డను అడ్డం పెట్టుకొని నాటకం ఆడారని ఆరోపించారు. రిటైర్డ్ అయిన వ్యక్తిని ఎన్నికల కమిషనర్‌గా నియమించాడని, 13జిల్లాలలో డిపాజిట్లు రావన్న ఓటమి భయంతో ఎన్నికలను వాయిదా వేయించాడని అన్నారు. వైద్యఆరోగ్య శాఖను సంప్రదించకుండా కరోనా వైరస్ పేరుతో ఎన్నికలను అడ్డుకున్నారని, ప్రజల కోసం కాకుండా ఎన్నికల కమిషన్ చంద్రబాబు కోసం ఎన్నికలను వాయిదా వేసిందని మండిపడ్డారు. ప్రజల బాధ్యత తీసుకున్న ప్రభుత్వానికి కనీస సమాచారం ఇవ్వలేదని అన్నారు.",ఆ తర్వాత టీడీపీని ఓఎల్‌ఎక్స్‌లో పెట్టుకోవాలి
"కరోనా వైరస్‌ ప్రపంచాన్ని వణికిస్తున్నప్పటికీ అన్ని జాగ్రత్తలతో టోక్యో ఒలింపిక్స్‌ను నిర్వహించేందుకు సిద్ధంగా ఉన్నామని జపాన్‌ ప్రధాని షింజో అబే స్పష్టం చేశారు. ఇటీవల టోక్యో మెగా ఈవెంట్‌ను వాయిదా వేయాలనే ఒత్తిళ్లు వస్తున్న నేపథ్యంలో ఆయన స్వయంగా స్పందించారు. షెడ్యూల్‌పై భరోసా కూడా ఇచ్చారు. అమెరికా అధ్యక్షుడు డొనాల్డ్‌ ట్రంప్‌ విశ్వక్రీడల్ని వాయిదా వేయాలని సలహా ఇచ్చిన సంగతి తెలిసిందే. దీంతో జపాన్‌ ప్రధాని షింజో శనివారం మీడియాతో మాట్లాడుతూ ‘మేం వైరస్‌పై అప్రమత్తంగా ఉన్నాం. సంబంధిత వర్గాలతో ఎప్పటికప్పుడు సమీక్షిస్తున్నాం. అంతర్జాతీయ ఒలింపిక్‌ కమిటీ (ఐఓసీ)తోనూ సంప్రదింపులు జరుపుతున్నాం. అయితే టోక్యోలో మెగా ఈవెంట్‌ నిర్వహణలో ఎలాంటి మార్పుల్లేవు. షెడ్యూల్‌ ప్రకారం పోటీలను నిర్వహిస్తాం. ఎవరికీ ఇబ్బందుల్లేకుండా... పక్కా ప్రణాళికతో, వైరస్‌ వ్యాప్తిని నిరోధించే జాగ్రత్తలతో ఒలింపిక్స్‌ను ఘనంగా నిర్వహిస్తాం. విశ్వక్రీడలు విజయవంతమయ్యేందుకు అమెరికాతో కలిసి సమన్వయంతో పనిచేస్తాం’ అని అన్నారు.",షెడ్యూల్‌ ప్రకారమే ఒలింపిక్స్‌: జపాన్‌ ప్రధాని
"ఇండియన్‌ సూపర్‌ లీగ్‌ (ఐఎస్‌ఎల్‌) ఫుట్‌బాల్‌ టోర్నమెంట్‌ చరిత్రలో అట్లెటికో డి కోల్‌కతా జట్టు చరిత్ర సృష్టించింది. శనివారం జరిగిన ఆరో సీజన్‌ ఫైనల్లో కోల్‌కతా 3–1 గోల్స్‌ తేడాతో చెన్నైయిన్‌ ఎఫ్‌సీపై విజయం సాధించింది. దాంతో ఐఎస్‌ఎల్‌ టైటిల్‌ను అత్యధికంగా మూడుసార్లు గెలిచిన తొలి జట్టుగా గుర్తింపు పొందింది. ఇప్పటివరకు ఆరు సీజన్‌లు జరగ్గా... అందులో కోల్‌కతా (2014, 2016, 2019–20), చెన్నైయిన్‌ రెండు సార్లు (2015, 2017–18), బెంగళూరు ఒకసారి (2018–19) విజేతలుగా నిలిచాయి. ప్రేక్షకులు లేకుండా ఖాళీ మైదానంలో నిర్వహించిన ఫైనల్లో ఆరంభం నుంచే దూకుడుగా ఆడిన కోల్‌కతా అందివచ్చిన ఏ అవకాశాన్ని వదల్లేదు.",కోల్‌కతాకే ఐఎస్‌ఎల్‌ కిరీటం
"దేశంలో జరిగే అన్ని ఫుట్‌బాల్‌ మ్యాచ్‌లను ఈ నెల 31 వరకు రద్దు చేస్తూ అఖిల భారత ఫుట్‌బాల్‌ సమాఖ్య (ఏఐఎఫ్‌ఎఫ్‌) శనివారం నిర్ణయం తీసుకుంది. దాంతో ఐ–లీగ్, డివిజన్‌–2, యూత్‌ లీగ్, గోల్డెన్‌ లీగ్, జాతీయ టోర్నీలు రద్దయ్యాయి. ఐ–లీగ్‌లోని 28 మ్యాచ్‌లను ప్రేక్షకులు లేకుండానే నిర్వహించాలని ఏఐఎఫ్‌ఎఫ్‌ తొలుత అనుకున్నా... కేంద్ర ఆరోగ్య మంత్రిత్వ శాఖ సలహా మేరకు ఈ నెల చివరి వరకు దేశంలో ఎటువంటి ఫుట్‌బాల్‌ మ్యాచ్‌లను నిర్వహించరాదని  నిర్ణయించింది.",31 వరకు దేశంలో ‘నో’ ఫుట్‌బాల్‌
"భర్త, తల్లి ప్రవర్తన వల్ల మానసిక వేదనకు గురైన ఓ నవ వధువు ఆత్మహత్య చేసుకుంది. ఈ సంఘటన మీర్‌పేట పోలీస్‌స్టేషన్‌ పరిధిలో జరిగింది. సీఐ యాదయ్య తెలిపిన మేరకు.. మీర్‌పేట అల్మాస్‌గూడకు చెందిన వేలూరి అనిత కొన్నేళ్లుగా భర్త బాబురావుతో విడిపోయి పిల్లలతో కలిసి ఉంటోంది. అనిత క్యాటరింగ్‌ పనులు చేస్తోంది. ఈ క్రమంలో ఆమెకు ప్రేమ్‌ నవీన్‌కుమార్‌ అనే వ్యక్తితో పరిచయం ఏర్పడింది. దీంతో నవీన్‌కుమార్‌ తరచూ అనిత ఇంటికి వచ్చేవాడు. ఎలాగైనా శాశ్వతంగా ఇద్దరూ కలిసి ఉండాలన్న ఉద్దేశంతో డిగ్రీ మొదటి సంవత్సరం చదివే తన పెద్ద కుమార్తె వందన (19)ను నవీన్‌కుమార్‌కు ఇచ్చి అనిత గత సంవత్సరం డిసెంబరు 1న వివాహం జరిపించింది.","తల్లి, భర్త మోసం.. నవవధువు ఆత్మహత్య"
